method,k,workload,n,mean_tps,median_tps,mean_latency_s,median_latency_s,mean_output_tokens,mean_acceptance_rate,mean_rejection_rate,mean_entropy,total_draft_tokens,total_accepted_tokens,total_rejected_tokens,wasted_token_rate,accepted_token_rate,wasted_token_pct
draft_sd,2,hardware_gen,50,61.672918725785074,64.54962199889079,8.618343838145956,7.931883921381086,511.42,0.7442735510500305,0.25572644894996954,0.2472196049174208,20868.0,15135.0,5733.0,0.27472685451408857,0.7252731454859115,27.472685451408857
draft_sd,2,long_chain_reasoning,50,62.932859121862855,60.218889461684164,16.576445944886654,17.004671595292166,1024.0,0.7443592262049495,0.25564077379505046,0.2835722181394152,41890.0,30250.0,11640.0,0.27787061351157794,0.7221293864884221,27.787061351157792
draft_sd,2,long_context_completion,50,71.09454481059699,75.50578534764611,25.042833980945872,26.916585879866034,1849.6,0.9092562564050608,0.0907437435949392,0.0939620530364395,65198.0,59878.0,5320.0,0.08159759501825209,0.9184024049817479,8.159759501825208
draft_sd,2,long_horizon_swe,50,65.06889302572743,64.91802556276281,15.858406022619455,15.694179535843432,1020.76,0.8072727791420428,0.1927272208579571,0.23410793225521595,39404.0,31338.0,8066.0,0.20470003045376103,0.7952999695462389,20.470003045376103
draft_sd,2,mathematical_reasoning,50,61.13327841815963,60.02982456473604,8.335751752136275,8.529097265098244,505.46,0.7251274957739255,0.2748725042260744,0.2271784025625657,20750.0,14894.0,5856.0,0.2822168674698795,0.7177831325301205,28.22168674698795
draft_sd,4,code_gen,50,60.92847715883889,62.90173440553474,8.776789957042784,8.14142666105181,512.0,0.6928040528074834,0.3071959471925166,0.19350618975274744,28100.0,18618.0,9482.0,0.3374377224199288,0.6625622775800711,33.74377224199288
draft_sd,4,conversational_generation_gen,50,54.20520899130733,50.97572727574465,9.91237434025854,10.043996070045978,512.0,0.6012098860548786,0.3987901139451213,0.3818508610110326,30812.0,17906.0,12906.0,0.4188627807347787,0.5811372192652213,41.88627807347787
draft_sd,4,conversational_generation_sft,50,48.74340178413183,48.63494050886496,10.95473494852893,10.527502332814038,512.0,0.5792304070882085,0.4207695929117915,0.378273983105448,31688.0,17702.0,13986.0,0.4413658167129513,0.5586341832870487,44.136581671295126
draft_sd,4,hardware_gen,50,55.291176206975535,56.44822129446523,10.022002227073536,9.070529914461076,511.42,0.6343483929464893,0.36565160705351063,0.2469942763381137,30392.0,18002.0,12390.0,0.40767307186101603,0.5923269281389839,40.767307186101604
draft_sd,4,long_chain_reasoning,50,56.0362793404121,51.404474857908255,19.461684961104766,19.920469955541193,1024.0,0.6364470647157797,0.36355293528422034,0.2864286455523891,61416.0,35880.0,25536.0,0.4157874169597499,0.5842125830402501,41.57874169597499
draft_sd,4,long_context_completion,50,68.88720307388652,75.2401399832039,26.226867004781962,26.684161314973608,1849.6,0.8680459843471533,0.13195401565284673,0.09209160796747452,82804.0,71837.0,10967.0,0.13244529249794695,0.867554707502053,13.244529249794695
draft_sd,4,long_horizon_swe,50,59.30526818608617,58.38053319725043,18.01905664266087,17.5401702914387,1021.74,0.7060664097270565,0.2939335902729435,0.23972252934185406,55404.0,37287.0,18117.0,0.32699805068226123,0.6730019493177388,32.69980506822613
draft_sd,4,mathematical_reasoning,50,53.910496466544885,51.81733850564332,9.560298402309417,9.881202338496223,505.46,0.6022925935399895,0.39770740646001046,0.22717032749949262,30296.0,17736.0,12560.0,0.4145761816741484,0.5854238183258516,41.457618167414836
draft_sd,8,code_gen,50,52.39472542261592,52.920918304987964,11.032873198697343,9.680686544626951,512.0,0.5442581639419732,0.4557418360580268,0.194574319591474,42416.0,20411.0,22005.0,0.5187900792153904,0.48120992078460956,51.87900792153904
draft_sd,8,conversational_generation_gen,50,43.626983515298924,38.59751636006985,12.803993138428778,13.266023989301175,512.0,0.4343986302108695,0.5656013697891304,0.3879591085062834,49200.0,19529.0,29671.0,0.6030691056910569,0.39693089430894307,60.30691056910569
draft_sd,8,conversational_generation_sft,50,39.661682724114414,36.78451691704815,13.911723868260161,13.922583394451067,512.0,0.39739039489097605,0.602609605109024,0.38023631479200626,52504.0,19119.0,33385.0,0.6358563157092793,0.3641436842907207,63.58563157092792
draft_sd,8,hardware_gen,50,47.79616619794952,45.1683553577814,12.38167050207965,11.337643767008558,511.42,0.4780937693191787,0.5219062306808212,0.2644819347167289,48240.0,19633.0,28607.0,0.593014096185738,0.40698590381426203,59.3014096185738
draft_sd,8,long_chain_reasoning,50,49.81956748174517,40.13785250559728,24.070850232727825,25.512290299870074,1024.0,0.5018935261641312,0.4981064738358688,0.27849564275314287,96024.0,39330.0,56694.0,0.590414896275931,0.409585103724069,59.0414896275931
draft_sd,8,long_context_completion,50,71.95718675611803,79.59643004635457,26.432485946659,24.103337296051905,1849.6,0.7862211429206072,0.21377885707939276,0.09381550839821258,106656.0,79268.0,27388.0,0.2567881788178818,0.7432118211821183,25.67881788178818
draft_sd,8,long_horizon_swe,50,55.79561304419492,53.72975488548546,20.003267243513836,19.05847302847542,1021.86,0.5851518504741394,0.4148481495258606,0.22238635565575518,78080.0,41468.0,36612.0,0.4689036885245902,0.5310963114754098,46.89036885245902
draft_sd,8,mathematical_reasoning,50,43.71162904107649,41.02882352406617,12.429491965277121,12.479170083068311,512.0,0.42780491569963996,0.57219508430036,0.23635308147950623,48776.0,19587.0,29189.0,0.5984295555191077,0.40157044448089224,59.84295555191077
draft_sd,16,code_gen,50,39.5848660819745,39.491529490574266,16.073153977505864,12.96515910862945,512.0,0.3926255372299851,0.6073744627700148,0.19449247810617407,69840.0,21440.0,48400.0,0.693012600229095,0.30698739977090495,69.3012600229095
draft_sd,16,conversational_generation_gen,50,28.723521961378434,22.52131366716752,20.82801265171729,22.73403871874325,512.0,0.27984734713782716,0.7201526528621727,0.3852334899005423,87344.0,20291.0,67053.0,0.7676886792452831,0.23231132075471697,76.76886792452831
draft_sd,16,conversational_generation_sft,50,25.10779090961302,23.278997940965922,22.929214505674317,21.99758642865345,512.0,0.24741850649460734,0.7525814935053926,0.3781766597710834,93712.0,19881.0,73831.0,0.7878500085367935,0.21214999146320643,78.78500085367935
draft_sd,16,hardware_gen,50,34.52143216344956,30.63093789484846,19.004144492819904,16.717440004460514,511.42,0.3378657867709192,0.6621342132290807,0.2614860214427791,82112.0,20676.0,61436.0,0.7481975837879968,0.2518024162120031,74.81975837879969
