pool,method,workload,n,mean_tps,median_tps,mean_wall_s,median_wall_s,mean_output_tokens,run_root,run_name,model_variant,candidate_set
slow_fast,ngram_sd,conversational_generation_sft_cap50,50,37.30577876253781,29.58229986119436,15.639872679710388,17.309852361679077,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_fast,ngram_sd,hardware_gen,44,56.93822656163357,40.20687521244429,11.927870674566789,12.73766815662384,511.34090909090907,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_fast,ngram_sd,long_chain_reasoning,50,75.08934018757232,40.07004337784831,22.350335898399354,25.55528676509857,1024.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_fast,ngram_sd,long_context_completion,50,118.27611993559871,80.18840147082445,22.300050916671758,20.63247299194336,1829.92,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_fast,ngram_sd,long_horizon_swe,50,86.62058228428344,63.88141056874332,17.899670720100403,16.056572437286377,1024.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_fast,ngram_sd,mathematical_reasoning,50,35.624763436533634,32.70502263600582,15.184426255226136,15.49044632911682,510.84,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_only,eagle3,code_gen,26,71.36697822781662,74.47801326004424,7.287604707937974,6.874513149261475,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_only,eagle3,hardware_gen,6,63.38613857929565,59.53436939427833,8.188462058703104,8.608598351478577,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_only,ngram_sd,code_gen,24,405.1505377477097,360.47881656799257,1.8528180420398712,1.420397162437439,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_only,ngram_sd,conversational_generation_gen_cap50,50,272.86664422202136,185.97058554524017,2.3820830631256102,2.753123641014099,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
