pool,n,mean_tps,median_tps,mean_wall_s,median_wall_s,mean_output_tokens,speedup_vs_slow_only_tps,latency_speedup_vs_slow_only,run_root,run_name,model_variant,candidate_set,slow_only_mean_tps,tps_ratio_vs_slow_only
slow_fast,400,60.41384570100601,35.647752087100855,17.405903442502023,17.113333225250244,804.5225,0.1540080245355994,0.1770857041326312,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_speed_first__k1_to_16,survival_utility_controller_v4_speed_first__k1_to_16,survival_utility_controller_v4_speed_first,k1_to_16,392.2772588193363,0.1540080245355994
slow_only,400,392.2772588193363,227.57742903439944,3.082336667180061,2.705499053001404,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_speed_first__k1_to_16,survival_utility_controller_v4_speed_first__k1_to_16,survival_utility_controller_v4_speed_first,k1_to_16,392.2772588193363,1.0
slow_fast,400,56.99851622236892,41.78291415050264,15.736770730018616,14.749463319778442,804.5225,0.143143167023403,0.1939076241206518,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_speed_first__k2_4_6_8,survival_utility_controller_v4_speed_first__k2_4_6_8,survival_utility_controller_v4_speed_first,k2_4_6_8,398.1923650819463,0.14314316702340305
slow_only,400,398.1923650819463,229.38502200197505,3.051479823589325,2.681079745292664,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_speed_first__k2_4_6_8,survival_utility_controller_v4_speed_first__k2_4_6_8,survival_utility_controller_v4_speed_first,k2_4_6_8,398.1923650819463,1.0
slow_fast,400,67.99807681438791,41.47469554597805,15.525602866411209,15.062950134277344,804.5225,0.1731780561566566,0.1979898497198484,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2,k1_2_4_6_8_10_12_14_16,392.648343118466,0.17317805615665668
slow_only,400,392.648343118466,227.7072900761381,3.0739117783308028,2.6774243116378784,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2,k1_2_4_6_8_10_12_14_16,392.648343118466,1.0
slow_fast,400,58.17266602342173,35.126546125706184,18.2663188958168,17.75523066520691,804.5225,0.1492922676103059,0.1693578712477468,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2,k1_2_4_8_16,389.6562558435273,0.149292267610306
slow_only,400,389.6562558435273,225.34920602450927,3.0935448837280277,2.720015525817871,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2,k1_2_4_8_16,389.6562558435273,1.0
slow_fast,400,64.12110469501582,38.53244699382165,16.46198714733124,15.92580509185791,804.5225,0.16354919916706,0.1887154896089656,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2,k1_to_16,392.0600346658883,0.16354919916706
slow_only,400,392.0600346658883,225.60061675501717,3.106631964445114,2.7222880125045776,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2,k1_to_16,392.0600346658883,1.0
slow_fast,400,61.76432013041013,45.96434241634792,14.717093579173088,13.606075882911682,804.5225,0.1582287572281207,0.2112171861242008,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2,k2_4_6_8,390.3482604073267,0.1582287572281207
slow_only,400,390.3482604073267,226.45936551671093,3.108503093719482,2.721796751022339,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2,k2_4_6_8,390.3482604073267,1.0
