pool,method,active_k,n,run_root,run_name,model_variant,candidate_set
slow_only,ngram_sd,14,219,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_only,ngram_sd,15,196,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_only,ngram_sd,16,88386,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_fast,eagle3,1,23,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
slow_fast,eagle3,2,157,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
slow_fast,eagle3,3,9092,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
slow_fast,eagle3,4,4897,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
slow_fast,eagle3,5,1021,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
slow_fast,eagle3,6,3,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
slow_fast,eagle3,7,3,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
