pool,n_blocks,draft_tokens,accepted_tokens,rejected_tokens,mean_k,mean_accepted_len,mean_rejected,full_accept_rate,wasted_token_rate,accepted_per_block,mean_tps,tps_ratio_vs_slow_only,STE_vs_slow_only,ATE_vs_slow_only,run_root,run_name,model_variant,candidate_set,wasted_token_pct
slow_only,109850,1627748,179600,1448148,14.817915339098771,1.634956759217114,13.182958579881657,0.0673190714610832,0.8896635105679749,1.634956759217114,392.2772588193363,1.0,0.1103364894320251,0.1803953891851771,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_speed_first__k1_to_16,survival_utility_controller_v4_speed_first__k1_to_16,survival_utility_controller_v4_speed_first,k1_to_16,88.96635105679749
slow_fast,117826,872700,170967,701733,7.406684432977442,1.451012509972332,5.955671923005109,0.1230713085397111,0.8040941904434513,1.451012509972332,56.99851622236892,0.143143167023403,0.028042578018208,0.0406901315162949,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_speed_first__k2_4_6_8,survival_utility_controller_v4_speed_first__k2_4_6_8,survival_utility_controller_v4_speed_first,k2_4_6_8,80.40941904434513
slow_only,109850,1627748,179600,1448148,14.817915339098771,1.634956759217114,13.182958579881657,0.0673190714610832,0.8896635105679749,1.634956759217114,398.1923650819463,1.0,0.1103364894320251,0.1803953891851771,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_speed_first__k2_4_6_8,survival_utility_controller_v4_speed_first__k2_4_6_8,survival_utility_controller_v4_speed_first,k2_4_6_8,88.96635105679749
slow_fast,111076,943233,178452,764781,8.491780402607224,1.6065756779142208,6.885204724693003,0.0808185386582159,0.8108081460254253,1.6065756779142208,67.99807681438791,0.1731780561566566,0.0327638775119908,0.0526376487249252,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2,k1_2_4_6_8_10_12_14_16,81.08081460254253
slow_only,109850,1627748,179600,1448148,14.817915339098771,1.634956759217114,13.182958579881657,0.0673190714610832,0.8896635105679749,1.634956759217114,392.648343118466,1.0,0.1103364894320251,0.1803953891851771,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2,k1_2_4_6_8_10_12_14_16,88.96635105679749
slow_fast,111249,911791,178273,733518,8.195947828744528,1.6024683367940389,6.5934794919504895,0.0833715359239184,0.804480412726162,1.6024683367940389,58.17266602342173,0.1492922676103059,0.0291895625463423,0.0467753497453828,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2,k1_2_4_8_16,80.4480412726162
slow_only,109850,1627748,179600,1448148,14.817915339098771,1.634956759217114,13.182958579881657,0.0673190714610832,0.8896635105679749,1.634956759217114,389.6562558435273,1.0,0.1103364894320251,0.1803953891851771,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2,k1_2_4_8_16,88.96635105679749
slow_fast,111043,943152,178451,764701,8.49357456120602,1.607044118044361,6.886530443161658,0.0803292418252388,0.8107929580809881,1.607044118044361,64.12110469501582,0.16354919916706,0.0309446601826227,0.0497294341313654,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2,k1_to_16,81.0792958080988
slow_only,109850,1627748,179600,1448148,14.817915339098771,1.634956759217114,13.182958579881657,0.0673190714610832,0.8896635105679749,1.634956759217114,392.0600346658883,1.0,0.1103364894320251,0.1803953891851771,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2,k1_to_16,88.96635105679749
slow_fast,118955,735647,169832,565815,6.184246143499642,1.4276995502500949,4.756546593249548,0.1326972384515153,0.7691392746792959,1.4276995502500949,61.76432013041013,0.1582287572281207,0.0365288056602775,0.0521521594123513,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2,k2_4_6_8,76.91392746792958
slow_only,109850,1627748,179600,1448148,14.817915339098771,1.634956759217114,13.182958579881657,0.0673190714610832,0.8896635105679749,1.634956759217114,390.3482604073267,1.0,0.1103364894320251,0.1803953891851771,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2,k2_4_6_8,88.96635105679749
slow_fast,111197,1083988,178282,905706,9.748356520409724,1.6032986501434392,8.145057870266283,0.0815849348453645,0.8355313896463799,1.6032986501434392,64.40273962368771,0.16347843479137,0.0268870709929215,0.0431080046292619,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2,k1_2_4_6_8_10_12_14_16,83.55313896463798
slow_only,109850,1627748,179600,1448148,14.817915339098771,1.634956759217114,13.182958579881657,0.0673190714610832,0.8896635105679749,1.634956759217114,393.9525094296261,1.0,0.1103364894320251,0.1803953891851771,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2,k1_2_4_6_8_10_12_14_16,88.96635105679749
slow_fast,111601,1091873,177737,914136,9.7837205759805,1.5926111773191995,8.191109398661302,0.08246341878657,0.8372182479097844,1.5926111773191995,66.73002373394804,0.1691367607711247,0.0275323782611873,0.043848373356947,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2,k1_2_4_8_16,83.72182479097845
slow_only,109850,1627748,179600,1448148,14.817915339098771,1.634956759217114,13.182958579881657,0.0673190714610832,0.8896635105679749,1.634956759217114,394.5329414475832,1.0,0.1103364894320251,0.1803953891851771,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2,k1_2_4_8_16,88.96635105679749
